bt2_team_id,bt2_team_name,toa_team_name_candidate,league,sport_key,similarity_score,evidence_count,mm3_1d_recommendation,review_class
16814,Salernitana,Salernitana,Serie A,soccer_italy_serie_a,1.0,5,strong_alias_candidate,likely_duplicate
21899,Venezia,Venezia,Serie A,soccer_italy_serie_a,1.0,5,strong_alias_candidate,likely_duplicate
16804,Hellas Verona,Hellas Verona,Serie A,soccer_italy_serie_a,1.0,5,strong_alias_candidate,likely_duplicate
1531,Sheffield United,Sheffield United,Premier League,soccer_epl,1.0,4,strong_alias_candidate,likely_duplicate
6645,Almería,Almería,La Liga,soccer_spain_la_liga,1.0,4,strong_alias_candidate,likely_duplicate
16815,Sassuolo,Sassuolo,Serie A,soccer_italy_serie_a,1.0,4,strong_alias_candidate,likely_duplicate
16805,Frosinone,Frosinone,Serie A,soccer_italy_serie_a,1.0,4,strong_alias_candidate,likely_duplicate
21891,Parma,Parma,Serie A,soccer_italy_serie_a,1.0,4,strong_alias_candidate,likely_duplicate
16804,Hellas Verona,Hellas Verona FC,Serie A,soccer_italy_serie_a,0.8966,4,probable_typo_or_locale,needs_manual_review
6650,Granada,Granada CF,La Liga,soccer_spain_la_liga,0.8235,4,review_manual,needs_manual_review
6663,Cádiz,Cádiz CF,La Liga,soccer_spain_la_liga,0.7692,4,review_manual,needs_manual_review
4287,Leicester City,Leicester City,Premier League,soccer_epl,1.0,2,probable_typo_or_locale,likely_duplicate
4292,Ipswich Town,Ipswich Town,Premier League,soccer_epl,1.0,2,probable_typo_or_locale,likely_duplicate
4270,Southampton,Southampton,Premier League,soccer_epl,1.0,2,probable_typo_or_locale,likely_duplicate
6656,Mallorca,Real Sociedad,La Liga,soccer_spain_la_liga,0.4762,2,review_manual,low_confidence
12246,Real Oviedo,Oviedo,La Liga,soccer_spain_la_liga,0.7059,1,review_manual,low_confidence
12265,Real Valladolid,Mallorca,La Liga,soccer_spain_la_liga,0.3478,1,review_manual,low_confidence
6660,Real Betis,Mallorca,La Liga,soccer_spain_la_liga,0.2222,1,review_manual,low_confidence
,,ambiguous_event:9935|top1=daf81d98e5f08bb56c108bc8ec6005da|top2=bf5d4a250797068cf3b51fa08b24a66f,,,1.5921,1,ambiguous_top1_top2,likely_duplicate
,,ambiguous_event:31640|top1=a1a97cc571b21a71810042c76b68ce7a|top2=83b621406141110857e9690920a7fe6d,,,1.5921,1,ambiguous_top1_top2,likely_duplicate
