source,calendar_year,sm_league_id,league_name,tier,n_events,earliest_kickoff,latest_kickoff,n_with_final_score,n_with_any_prematch_odds
bt2_events,2026,1116,Copa Sudamericana,B,18,2026-04-08 19:00:00-05:00,2026-04-16 21:00:00-05:00,10,11
bt2_events,2026,1122,Copa Libertadores,A,19,2026-04-08 19:00:00-05:00,2026-04-16 19:30:00-05:00,9,11
raw_sportmonks_fixtures,2023,8,Premier League,S,196,2023-08-11 19:00:00-05:00,2023-12-31 14:00:00-05:00,,
raw_sportmonks_fixtures,2023,9,Championship,B,300,2023-08-04 19:00:00-05:00,2023-12-29 20:15:00-05:00,,
raw_sportmonks_fixtures,2023,12,League One,unknown,284,2023-08-05 14:00:00-05:00,2023-12-29 19:45:00-05:00,,
raw_sportmonks_fixtures,2023,14,League Two,unknown,290,2023-08-05 14:00:00-05:00,2023-12-29 19:45:00-05:00,,
raw_sportmonks_fixtures,2023,17,Enterprise National League,unknown,304,2023-08-05 14:00:00-05:00,2023-12-30 15:00:00-05:00,,
raw_sportmonks_fixtures,2023,24,FA Cup,unknown,803,2023-08-04 18:45:00-05:00,2023-12-19 19:45:00-05:00,,
raw_sportmonks_fixtures,2023,27,Carabao Cup,unknown,88,2023-08-08 18:00:00-05:00,2023-12-20 20:00:00-05:00,,
raw_sportmonks_fixtures,2023,45,,,60,2023-10-01 11:30:00-05:00,2023-12-17 18:45:00-05:00,,
raw_sportmonks_fixtures,2023,72,Eredivisie,A,144,2023-08-11 18:00:00-05:00,2023-12-17 19:00:00-05:00,,
raw_sportmonks_fixtures,2023,74,Eerste Divisie,unknown,199,2023-08-11 18:00:00-05:00,2023-12-23 20:00:00-05:00,,
raw_sportmonks_fixtures,2023,78,KNVB Beker,unknown,93,2023-08-12 12:30:00-05:00,2023-12-21 19:00:00-05:00,,
raw_sportmonks_fixtures,2023,82,Bundesliga,S,143,2023-08-18 18:30:00-05:00,2023-12-20 19:30:00-05:00,,
raw_sportmonks_fixtures,2023,85,2. Bundesliga,B,144,2023-08-04 16:30:00-05:00,2023-12-17 12:30:00-05:00,,
raw_sportmonks_fixtures,2023,88,3. Liga,unknown,197,2023-08-04 17:15:00-05:00,2023-12-20 18:00:00-05:00,,
raw_sportmonks_fixtures,2023,109,DFB Pokal,unknown,56,2023-08-11 16:00:00-05:00,2023-12-06 19:45:00-05:00,,
raw_sportmonks_fixtures,2023,181,Admiral Bundesliga,unknown,96,2023-08-05 15:00:00-05:00,2023-12-10 16:00:00-05:00,,
raw_sportmonks_fixtures,2023,208,Pro League,A,152,2023-08-04 18:45:00-05:00,2023-12-27 19:45:00-05:00,,
raw_sportmonks_fixtures,2023,211,Challenger Pro League,unknown,128,2023-08-11 18:00:00-05:00,2023-12-17 18:15:00-05:00,,
raw_sportmonks_fixtures,2023,229,First League,unknown,138,2023-08-04 16:00:00-05:00,2023-12-14 15:30:00-05:00,,
raw_sportmonks_fixtures,2023,244,1. HNL,unknown,82,2023-08-04 18:00:00-05:00,2023-12-17 16:15:00-05:00,,
raw_sportmonks_fixtures,2023,262,Chance Liga,unknown,132,2023-08-05 13:00:00-05:00,2023-12-17 17:00:00-05:00,,
raw_sportmonks_fixtures,2023,271,Superliga,unknown,90,2023-08-04 17:00:00-05:00,2023-12-04 18:00:00-05:00,,
raw_sportmonks_fixtures,2023,274,First Division,unknown,96,2023-08-04 17:00:00-05:00,2023-12-05 17:30:00-05:00,,
raw_sportmonks_fixtures,2023,301,Ligue 1,S,153,2023-08-11 19:00:00-05:00,2023-12-20 20:00:00-05:00,,
raw_sportmonks_fixtures,2023,304,Ligue 2,B,190,2023-08-05 13:00:00-05:00,2023-12-19 19:45:00-05:00,,
raw_sportmonks_fixtures,2023,307,Coupe de France,unknown,134,2023-11-17 18:00:00-05:00,2023-12-16 17:00:00-05:00,,
raw_sportmonks_fixtures,2023,325,Super League,unknown,105,2023-08-18 18:00:00-05:00,2023-12-21 18:30:00-05:00,,
raw_sportmonks_fixtures,2023,334,NB I,unknown,97,2023-08-04 18:00:00-05:00,2023-12-17 17:00:00-05:00,,
raw_sportmonks_fixtures,2023,372,Ligat ha'Al,unknown,90,2023-08-26 16:00:00-05:00,2023-12-31 18:30:00-05:00,,
raw_sportmonks_fixtures,2023,384,Serie A,S,180,2023-08-19 16:30:00-05:00,2023-12-30 19:45:00-05:00,,
raw_sportmonks_fixtures,2023,387,Serie B,B,190,2023-08-18 18:30:00-05:00,2023-12-26 19:30:00-05:00,,
raw_sportmonks_fixtures,2023,390,Coppa Italia,unknown,32,2023-08-05 16:00:00-05:00,2023-12-20 20:00:00-05:00,,
raw_sportmonks_fixtures,2023,453,Ekstraklasa,A,152,2023-08-04 16:00:00-05:00,2023-12-20 18:00:00-05:00,,
raw_sportmonks_fixtures,2023,462,Liga Portugal,A,135,2023-08-11 19:15:00-05:00,2023-12-30 20:30:00-05:00,,
