calendar_year,sm_league_id,league_name,market,n_odds_rows,n_distinct_events_with_row,n_bookmakers,min_fetched_at,max_fetched_at,n_rows_prematch_vs_kickoff,n_events_any_prematch_row_for_this_market
2023,262,Chance Liga,Match Winner,393,131,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,262,Chance Liga,Full Time Result,393,131,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,262,Chance Liga,Fulltime Result,393,131,12,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,262,Chance Liga,Goals Over/Under,262,131,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,271,Superliga,Full Time Result,270,90,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,271,Superliga,Fulltime Result,270,90,12,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,271,Superliga,Match Winner,270,90,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,271,Superliga,Goals Over/Under,180,90,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,274,First Division,Fulltime Result,288,96,11,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,274,First Division,Match Winner,288,96,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,274,First Division,Full Time Result,270,90,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,274,First Division,Goals Over/Under,192,96,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,301,Ligue 1,Fulltime Result,459,153,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,301,Ligue 1,Full Time Result,459,153,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,301,Ligue 1,Match Winner,459,153,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,301,Ligue 1,Goals Over/Under,306,153,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,304,Ligue 2,Match Winner,570,190,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,304,Ligue 2,Full Time Result,570,190,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,304,Ligue 2,Fulltime Result,567,189,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,304,Ligue 2,Goals Over/Under,380,190,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,307,Coupe de France,Fulltime Result,96,32,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,307,Coupe de France,Match Winner,81,27,12,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,307,Coupe de France,Goals Over/Under,60,30,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,307,Coupe de France,Full Time Result,60,20,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,325,Super League,Match Winner,315,105,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,325,Super League,Full Time Result,315,105,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,325,Super League,Fulltime Result,315,105,12,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,325,Super League,Goals Over/Under,210,105,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,334,NB I,Fulltime Result,291,97,10,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,334,NB I,Match Winner,291,97,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,334,NB I,Full Time Result,285,95,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,334,NB I,Goals Over/Under,194,97,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,372,Ligat ha'Al,Full Time Result,270,90,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,372,Ligat ha'Al,Fulltime Result,270,90,10,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,372,Ligat ha'Al,Match Winner,270,90,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,372,Ligat ha'Al,Goals Over/Under,180,90,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,384,Serie A,Full Time Result,540,180,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,384,Serie A,Fulltime Result,540,180,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,384,Serie A,Match Winner,540,180,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,384,Serie A,Goals Over/Under,360,180,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,387,Serie B,Match Winner,570,190,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,387,Serie B,Full Time Result,567,189,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,387,Serie B,Fulltime Result,567,189,12,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,387,Serie B,Goals Over/Under,380,190,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,390,Coppa Italia,Fulltime Result,96,32,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,390,Coppa Italia,Full Time Result,96,32,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,390,Coppa Italia,Match Winner,96,32,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,390,Coppa Italia,Goals Over/Under,64,32,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,453,Ekstraklasa,Match Winner,456,152,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,453,Ekstraklasa,Full Time Result,453,151,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,453,Ekstraklasa,Fulltime Result,453,151,11,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,453,Ekstraklasa,Goals Over/Under,304,152,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,462,Liga Portugal,Full Time Result,405,135,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,462,Liga Portugal,Fulltime Result,405,135,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,462,Liga Portugal,Match Winner,405,135,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,462,Liga Portugal,Goals Over/Under,270,135,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,465,Liga Portugal 2,Full Time Result,408,136,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,465,Liga Portugal 2,Fulltime Result,408,136,12,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,465,Liga Portugal 2,Match Winner,408,136,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,465,Liga Portugal 2,Goals Over/Under,272,136,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,468,Taça De Portugal,Fulltime Result,246,82,20,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,468,Taça De Portugal,Full Time Result,234,78,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,468,Taça De Portugal,Match Winner,201,67,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,468,Taça De Portugal,Goals Over/Under,168,84,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,474,Superliga,Fulltime Result,432,144,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,474,Superliga,Full Time Result,432,144,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,474,Superliga,Match Winner,432,144,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,474,Superliga,Goals Over/Under,288,144,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,486,Premier League,Match Winner,384,128,6,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,486,Premier League,Fulltime Result,381,127,10,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,486,Premier League,Goals Over/Under,256,128,6,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,489,FNL,Fulltime Result,459,153,8,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,489,FNL,Match Winner,459,153,6,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,489,FNL,Goals Over/Under,306,153,6,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,492,Russian Cup,Match Winner,312,104,6,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,492,Russian Cup,Fulltime Result,231,77,10,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,492,Russian Cup,Goals Over/Under,208,104,6,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,501,Premiership,Full Time Result,351,117,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,501,Premiership,Fulltime Result,351,117,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,501,Premiership,Match Winner,351,117,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,501,Premiership,Goals Over/Under,234,117,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,531,Super Liga,Match Winner,432,144,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,531,Super Liga,Full Time Result,432,144,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,531,Super Liga,Fulltime Result,408,136,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,531,Super Liga,Goals Over/Under,288,144,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,540,Niké Liga,Fulltime Result,306,102,11,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,540,Niké Liga,Full Time Result,306,102,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,540,Niké Liga,Match Winner,306,102,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,540,Niké Liga,Goals Over/Under,204,102,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,564,La Liga,Match Winner,540,180,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,564,La Liga,Full Time Result,540,180,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,564,La Liga,Fulltime Result,516,172,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,564,La Liga,Goals Over/Under,360,180,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,567,La Liga 2,Fulltime Result,693,231,12,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,567,La Liga 2,Match Winner,693,231,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
