shadow_pick_id,source_run_key,operating_day_key,bt2_event_id,sm_fixture_id,sm_league_id,league_name,legacy_exclusion,shadow_native_exclusion,legacy_eligible,shadow_native_eligible
363,shadow-subset5-backfill-2026-02,2026-02-01,,19425103,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
364,shadow-subset5-backfill-2026-02,2026-02-01,,19425104,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
365,shadow-subset5-backfill-2026-02,2026-02-01,,19425107,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
374,shadow-subset5-backfill-2026-02,2026-02-01,,19439468,564,La Liga,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
375,shadow-subset5-backfill-2026-02,2026-02-01,,19439467,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
376,shadow-subset5-backfill-2026-02,2026-02-01,,19439463,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
377,shadow-subset5-backfill-2026-02,2026-02-01,,19439460,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
330,shadow-subset5-backfill-2026-02,2026-02-02,,19427693,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
366,shadow-subset5-backfill-2026-02,2026-02-02,,19425110,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
378,shadow-subset5-backfill-2026-02,2026-02-02,,19439465,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
367,shadow-subset5-backfill-2026-02,2026-02-03,,19425101,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
331,shadow-subset5-backfill-2026-02,2026-02-06,,19427701,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
340,shadow-subset5-backfill-2026-02,2026-02-06,,19433657,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
355,shadow-subset5-backfill-2026-02,2026-02-06,,19433916,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
368,shadow-subset5-backfill-2026-02,2026-02-06,,19425115,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
379,shadow-subset5-backfill-2026-02,2026-02-06,,19439473,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
332,shadow-subset5-backfill-2026-02,2026-02-07,,19427703,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
333,shadow-subset5-backfill-2026-02,2026-02-07,,19427696,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
334,shadow-subset5-backfill-2026-02,2026-02-07,,19427697,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
335,shadow-subset5-backfill-2026-02,2026-02-07,,19427699,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
336,shadow-subset5-backfill-2026-02,2026-02-07,,19427700,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
337,shadow-subset5-backfill-2026-02,2026-02-07,,19427705,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
