run_key,shadow_daily_pick_id,sm_fixture_id,bt2_event_id,kickoff_utc,league,eval_status,evaluation_reason,truth_source_at_eval,local_event_status,local_result_home,local_result_away,sm_http_status,sm_event_status,sm_result_home,sm_result_away,sm_has_ft_score,sm_error_message,merged_result_home,merged_result_away,merged_truth_source_sim,root_cause_primary,root_cause_detail,eval_stored_home,eval_stored_away
shadow-dsr-native-full-20260428-214014,604,19427697,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,1,True,,1,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,605,19427699,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,0,2,True,,0,2,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,606,19427700,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,2,True,,1,2,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,607,19427705,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,3,True,,1,3,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,608,19433655,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,0,2,True,,0,2,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,609,19433658,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,2,0,True,,2,0,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,610,19433661,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,2,1,True,,2,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,611,19433662,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,0,True,,1,0,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,612,19433663,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,2,True,,1,2,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,613,19433659,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,1,True,,1,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,614,19433920,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,3,1,True,,3,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,615,19433921,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,2,0,True,,2,0,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,616,19425114,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,2,3,True,,2,3,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,617,19425113,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,2,2,True,,2,2,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,618,19439476,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,3,1,True,,3,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,619,19433656,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,2,True,,1,2,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,620,19433660,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,5,1,True,,5,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,621,19433918,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,0,0,True,,0,0,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,622,19467815,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,1,0,True,,1,0,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,623,19467817,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,2,1,True,,2,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
shadow-dsr-native-full-20260428-214014,624,19425112,,,,pending_result,dsr_parse_status=ok,toa_payload_only_v1,,,,200,FT,0,1,True,,0,1,sportmonks_fixture_api_v1,falta de enlace limpio,sin bt2_event_id; solo sm_fixture_id (evaluación depende de SM/merge),,
